episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
3301, -2687.227228164673, 2, 1.827503333101049, 30, 502250,                                             502250, 0.0, 24495.6640625
3302, -2552.560282230377, 2, 3.4238660719711334, 30, 502280,                                             502280, 0.0, 26620.9296875
3303, -2530.3846558332443, 2, 3.313050381024368, 31, 502311,                                             502311, 0.0, 21050.314453125
3304, -2326.295089364052, 2, 4.981727062026039, 30, 502341,                                             502341, 0.0, 27050.564453125
3305, -608.6039745211601, 1, 46.78658730501775, 757, 503098,                                             503098, 0.0, 22380.5703125
3306, -4983.13043743372, 2, 57.826407428015955, 727, 503825,                                             503825, 0.0, 20462.53125
3307, 949.4686458110809, 1, 27.791546441963874, 311, 504136,                                             504136, 0.0, 20826.0390625
3308, 1153.38438642025, 1, 28.834102599998005, 368, 504504,                                             504504, 0.0, 18691.517578125
3309, 1859.1560370326042, 1, 24.323152638971806, 229, 504733,                                             504733, 0.0, 22754.333984375
3310, 588.5372934639454, 1, 41.129261726979166, 547, 505280,                                             505280, 0.0, 19212.482421875
3311, -4906.12877368927, 2, 18.599946450907737, 307, 505587,                                             505587, 0.0, 19743.466796875
3312, -2378.7654197216034, 2, 4.241495500085875, 30, 505617,                                             505617, 0.0, 21588.634765625
3313, -1547.0975391864777, 1, 41.42114577803295, 470, 506087,                                             506087, 0.0, 21220.517578125
3314, 1621.7982888817787, 1, 18.97153633995913, 346, 506433,                                             506433, 0.0, 20984.83203125
3315, 1626.7589879333973, 1, 24.046003418043256, 239, 506672,                                             506672, 0.0, 20358.703125
3316, -3203.3127809762955, 2, 12.039372880011797, 121, 506793,                                             506793, 0.0, 19115.908203125
3317, -485.1336588859558, 5, 2.079757094033994, 67, 506860,                                             506860, 0.0, 14565.1533203125
3318, -197.84768342971802, 5, 5.704841929022223, 46, 506906,                                             506906, 0.0, 18404.294921875
3319, -683.3507404327393, 5, 3.5297788799507543, 118, 507024,                                             507024, 0.0, 17944.228515625
3320, 1286.6033173203468, 1, 26.0518784429878, 407, 507431,                                             507431, 0.0, 19075.916015625
3321, -2952.5953847765923, 4, 58.71859802608378, 602, 508033,                                             508033, 0.0, 19043.84765625
3322, -4268.464591503143, 2, 40.86630915198475, 336, 508369,                                             508369, 0.0, 19260.115234375
3323, -2782.9452147483826, 2, 11.241448099026456, 130, 508499,                                             508499, 0.0, 18616.603515625
3324, -3732.3176732063293, 2, 24.357124910107814, 358, 508857,                                             508857, 0.0, 18723.380859375
3325, 1749.218293786049, 1, 22.801598207908683, 181, 509038,                                             509038, 0.0, 18911.58203125
3326, -2491.569653749466, 2, 3.3300357430707663, 57, 509095,                                             509095, 0.0, 18024.8515625
3327, 2405.054398149252, 1, 10.085296784993261, 42, 509137,                                             509137, 0.0, 21622.53515625
3328, -4107.002022743225, 2, 38.573495435062796, 550, 509687,                                             509687, 0.0, 19269.13671875
3329, -2676.778162717819, 2, 14.354427734040655, 122, 509809,                                             509809, 0.0, 19140.126953125
3330, 2116.293304502964, 1, 18.687403044081293, 160, 509969,                                             509969, 0.0, 19813.23046875
3331, -3043.0493010282516, 2, 16.772822752944194, 272, 510241,                                             510241, 0.0, 18249.318359375
3332, -2280.5466384887695, 2, 3.39901013195049, 30, 510271,                                             510271, 0.0, 20113.78515625
3333, -3001.645983695984, 2, 14.167387565947138, 123, 510394,                                             510394, 0.0, 17523.8515625
3334, 1691.0851813554764, 1, 24.10694407299161, 266, 510660,                                             510660, 0.0, 19184.521484375
3335, -3009.220170080662, 2, 17.234694757964462, 248, 510908,                                             510908, 0.0, 22548.478515625
3336, 1766.9639508724213, 1, 17.112446442013606, 176, 511084,                                             511084, 0.0, 19889.669921875
3337, -2916.057435333729, 2, 21.42907115095295, 297, 511381,                                             511381, 0.0, 18790.591796875
3338, -2334.2723042964935, 2, 9.118656200007536, 84, 511465,                                             511465, 0.0, 16178.345703125
3339, -3286.376233100891, 4, 57.2577097810572, 528, 511993,                                             511993, 0.0, 16807.16796875
