episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
1	25209	4	0.552	0.00	1.18345	-48.75579	0.000	1.048	-0.496	0.000	0.000	0.000	0.000
2	25334	2	-1.382	0.00	1.24548	-48.22544	0.000	-0.382	0.000	0.000	0.000	0.000	-1.000
3	25407	1	2.630	33.33	1.79723	-47.04959	0.000	1.630	0.000	0.000	0.000	0.000	1.000
4	25480	2	-3.804	25.00	2.14223	-46.10531	0.000	-1.427	-1.377	0.000	0.000	0.000	-1.000
5	25633	4	-4.121	20.00	1.27320	-45.05317	0.000	0.023	-4.144	0.000	0.000	0.000	0.000
6	25663	2	-1.658	16.67	1.40838	-45.10088	0.000	0.163	-0.821	0.000	0.000	0.000	-1.000
7	25793	2	-2.491	14.29	1.29244	-44.80836	0.000	0.192	-1.683	0.000	0.000	0.000	-1.000
8	25929	2	-1.941	12.50	1.34036	-44.35585	0.000	0.772	-1.713	0.000	0.000	0.000	-1.000
9	25965	2	-0.619	11.11	1.27402	-44.09132	0.000	0.916	-0.535	0.000	0.000	0.000	-1.000
10	26101	4	-2.953	10.00	1.29125	-43.87114	0.000	-0.418	-2.535	0.000	0.000	0.000	0.000
11	26261	4	-1.633	9.09	1.23425	-43.47798	0.000	-0.582	-1.051	0.000	0.000	0.000	0.000
12	26292	2	-3.494	8.33	1.16953	-43.29335	0.000	-0.386	-2.108	0.000	0.000	0.000	-1.000
13	26355	2	-0.297	7.69	1.25166	-42.99897	0.000	1.864	-1.161	0.000	0.000	0.000	-1.000
14	26509	4	-0.604	7.14	1.21525	-42.83496	0.000	0.467	-1.072	0.000	0.000	0.000	0.000
15	26633	2	-1.403	6.67	1.21238	-42.45271	0.000	-0.064	-0.339	0.000	0.000	0.000	-1.000
16	26694	2	-3.613	6.25	1.09607	-42.27299	0.000	-1.333	-1.280	0.000	0.000	0.000	-1.000
17	26730	2	-3.398	5.88	1.13690	-42.08632	0.000	-0.493	-1.905	0.000	0.000	0.000	-1.000
18	26874	4	-1.711	5.56	1.19060	-41.86561	0.000	-0.823	-0.888	0.000	0.000	0.000	0.000
19	26946	2	-0.488	5.26	1.10748	-41.66347	0.000	0.874	-0.362	0.000	0.000	0.000	-1.000
20	27023	2	-2.041	5.00	1.19663	-41.48811	0.000	-0.577	-0.464	0.000	0.000	0.000	-1.000
21	27113	2	-1.469	4.76	1.04177	-41.34538	0.000	0.342	-0.811	0.000	0.000	0.000	-1.000
22	27290	4	0.227	4.55	1.06943	-41.00058	0.000	0.570	-0.343	0.000	0.000	0.000	0.000
23	27457	2	-1.559	4.35	1.03578	-40.68881	0.000	0.254	-0.813	0.000	0.000	0.000	-1.000
24	27613	4	-0.101	4.17	1.02586	-40.30616	0.000	-0.095	-0.006	0.000	0.000	0.000	0.000
25	27754	4	-0.117	4.00	0.98738	-40.02390	0.000	-0.006	-0.111	0.000	0.000	0.000	0.000
26	27891	4	-2.357	3.85	0.92338	-39.75811	0.000	-1.296	-1.061	0.000	0.000	0.000	0.000
27	28036	4	-1.160	3.70	0.95028	-39.45035	0.000	0.200	-1.360	0.000	0.000	0.000	0.000
28	28083	2	-1.779	3.57	0.85510	-39.26581	0.000	-0.173	-0.606	0.000	0.000	0.000	-1.000
29	28254	4	-1.958	3.45	0.92110	-39.00952	0.000	-1.435	-0.524	0.000	0.000	0.000	0.000
30	28312	2	-1.388	3.33	0.82146	-38.85779	0.000	-0.235	-0.153	0.000	0.000	0.000	-1.000
31	28542	4	0.270	3.23	0.86141	-38.53239	0.000	0.901	-0.631	0.000	0.000	0.000	0.000
32	28729	4	-1.918	3.12	0.83006	-38.07554	0.000	-0.740	-1.177	0.000	0.000	0.000	0.000
33	28770	2	-1.653	3.03	0.81668	-37.89731	0.000	0.104	-0.757	0.000	0.000	0.000	-1.000
34	28974	2	-2.196	2.94	0.76787	-37.65902	0.000	0.465	-1.660	0.000	0.000	0.000	-1.000
35	29206	4	-1.255	2.86	0.77301	-37.23457	0.000	-0.401	-0.855	0.000	0.000	0.000	0.000
36	29360	4	-0.858	2.78	0.74306	-36.86047	0.000	0.019	-0.876	0.000	0.000	0.000	0.000
37	29506	4	-1.086	2.70	0.71802	-36.54521	0.000	0.308	-1.394	0.000	0.000	0.000	0.000
38	29536	2	-1.366	2.63	0.79333	-36.36947	0.000	0.110	-0.475	0.000	0.000	0.000	-1.000
39	29570	2	-2.853	2.56	0.78163	-36.26177	0.000	0.330	-2.183	0.000	0.000	0.000	-1.000
40	29733	4	2.230	2.50	0.75235	-36.08705	0.000	2.287	-0.056	0.000	0.000	0.000	0.000
41	29900	4	0.853	2.44	0.74127	-35.76194	0.000	1.532	-0.679	0.000	0.000	0.000	0.000
42	29938	2	-1.363	2.38	0.69714	-35.58710	0.000	0.155	-0.517	0.000	0.000	0.000	-1.000
43	30101	4	-1.302	2.33	0.72182	-35.36396	0.000	-0.713	-0.589	0.000	0.000	0.000	0.000
44	30234	4	-0.320	2.27	0.70294	-35.11858	0.000	-0.306	-0.014	0.000	0.000	0.000	0.000
45	30398	4	0.140	2.22	0.68859	-34.82310	0.000	0.766	-0.626	0.000	0.000	0.000	0.000
46	30554	4	-2.440	2.17	0.68707	-34.49839	0.000	0.285	-2.724	0.000	0.000	0.000	0.000
47	30750	2	-1.314	2.13	0.64670	-34.15734	0.000	2.819	-3.132	0.000	0.000	0.000	-1.000
48	30882	4	-0.675	2.08	0.66914	-33.82864	0.000	-0.480	-0.195	0.000	0.000	0.000	0.000
49	30916	2	-2.920	2.04	0.65010	-33.68388	0.000	-0.893	-1.028	0.000	0.000	0.000	-1.000
50	31060	4	-0.831	2.00	0.65668	-33.47954	0.000	-0.009	-0.822	0.000	0.000	0.000	0.000
51	31193	4	1.763	1.96	0.67342	-33.23730	0.000	2.094	-0.331	0.000	0.000	0.000	0.000
52	31260	2	-1.507	1.92	0.61882	-33.03202	0.000	-0.144	-0.363	0.000	0.000	0.000	-1.000
53	31395	4	-2.044	1.89	0.62181	-32.84731	0.000	-0.274	-1.769	0.000	0.000	0.000	0.000
54	31522	4	0.236	1.85	0.64029	-32.60613	0.000	0.236	0.000	0.000	0.000	0.000	0.000
55	31718	4	0.326	1.82	0.62062	-32.32893	0.000	0.358	-0.032	0.000	0.000	0.000	0.000
56	31862	4	-0.347	1.79	0.60095	-31.97752	0.000	1.120	-1.467	0.000	0.000	0.000	0.000
57	32012	4	-0.221	1.75	0.57095	-31.70744	0.000	-0.143	-0.078	0.000	0.000	0.000	0.000
58	32049	2	-2.492	1.72	0.62729	-31.48546	0.000	-0.945	-0.547	0.000	0.000	0.000	-1.000
59	32116	1	1.828	3.39	0.56380	-31.44373	0.000	1.667	-0.839	0.000	0.000	0.000	1.000
60	32281	2	-1.080	3.33	0.58110	-31.23483	0.000	0.393	-0.473	0.000	0.000	0.000	-1.000
61	32429	4	-0.235	3.28	0.56917	-30.94697	0.000	-0.208	-0.028	0.000	0.000	0.000	0.000
62	32560	2	-0.608	3.23	0.57278	-30.69462	0.000	0.863	-0.471	0.000	0.000	0.000	-1.000
63	32594	2	-1.171	3.17	0.56077	-30.58352	0.000	0.111	-0.282	0.000	0.000	0.000	-1.000
64	32748	4	-0.378	3.12	0.55908	-30.36311	0.000	0.167	-0.545	0.000	0.000	0.000	0.000
65	32918	4	-0.140	3.08	0.52648	-30.05129	0.000	-0.103	-0.037	0.000	0.000	0.000	0.000
66	32954	2	-1.461	3.03	0.51364	-29.88224	0.000	0.201	-0.662	0.000	0.000	0.000	-1.000
67	33125	4	1.355	2.99	0.52641	-29.72545	0.000	1.619	-0.264	0.000	0.000	0.000	0.000
68	33307	2	0.540	2.94	0.54077	-29.38564	0.000	2.284	-0.744	0.000	0.000	0.000	-1.000
69	33492	4	-1.883	2.90	0.53869	-29.07881	0.000	-0.629	-1.253	0.000	0.000	0.000	0.000
70	33637	4	-1.420	2.86	0.53554	-28.77515	0.000	0.948	-2.368	0.000	0.000	0.000	0.000
71	33786	4	-1.246	2.82	0.54313	-28.53544	0.000	-0.480	-0.765	0.000	0.000	0.000	0.000
72	33822	2	-1.234	2.78	0.45106	-28.39700	0.000	-0.071	-0.162	0.000	0.000	0.000	-1.000
73	33984	4	-1.430	2.74	0.51849	-28.19759	0.000	-0.699	-0.730	0.000	0.000	0.000	0.000
74	34044	2	-0.785	2.70	0.48382	-28.02927	0.000	0.518	-0.303	0.000	0.000	0.000	-1.000
75	34173	2	-2.586	2.67	0.47536	-27.86651	0.000	-1.388	-0.198	0.000	0.000	0.000	-1.000
76	34315	4	0.146	2.63	0.49904	-27.63122	0.000	0.146	0.000	0.000	0.000	0.000	0.000
77	34479	4	-0.656	2.60	0.47420	-27.36768	0.000	-0.271	-0.386	0.000	0.000	0.000	0.000
78	34631	4	-0.377	2.56	0.47462	-27.11414	0.000	-0.030	-0.347	0.000	0.000	0.000	0.000
79	34763	4	-1.599	2.53	0.52024	-26.88860	0.000	-1.494	-0.104	0.000	0.000	0.000	0.000
80	34829	2	-1.630	2.50	0.45923	-26.73338	0.000	-0.412	-0.219	0.000	0.000	0.000	-1.000
81	35000	4	1.103	2.47	0.49193	-26.52641	0.000	1.103	0.000	0.000	0.000	0.000	0.000
82	35136	4	-1.630	2.44	0.45008	-26.28591	0.000	-0.341	-1.288	0.000	0.000	0.000	0.000
83	35293	4	-0.030	2.41	0.48044	-26.05586	0.000	0.661	-0.691	0.000	0.000	0.000	0.000
84	35433	4	-0.204	2.38	0.45149	-25.81161	0.000	0.034	-0.238	0.000	0.000	0.000	0.000
85	35561	4	-0.293	2.35	0.41437	-25.60349	0.000	0.974	-1.267	0.000	0.000	0.000	0.000
86	35631	2	-2.604	2.33	0.41984	-25.45184	0.000	-0.890	-0.714	0.000	0.000	0.000	-1.000
87	35766	2	-2.537	2.30	0.39941	-25.29154	0.000	0.214	-1.751	0.000	0.000	0.000	-1.000
88	35978	4	1.185	2.27	0.44270	-25.00046	0.000	1.185	0.000	0.000	0.000	0.000	0.000
89	36171	4	-0.963	2.25	0.39549	-24.68298	0.000	-0.290	-0.673	0.000	0.000	0.000	0.000
90	36356	4	0.708	2.22	0.41621	-24.40932	0.000	0.992	-0.284	0.000	0.000	0.000	0.000
91	36519	4	-1.339	2.20	0.40446	-24.13328	0.000	-1.278	-0.061	0.000	0.000	0.000	0.000
92	36691	4	-2.787	2.17	0.40711	-23.87950	0.000	-0.431	-2.356	0.000	0.000	0.000	0.000
93	36888	4	-1.337	2.15	0.40482	-23.60490	0.000	-1.126	-0.210	0.000	0.000	0.000	0.000
94	37196	4	1.477	2.13	0.38732	-23.23570	0.000	2.399	-0.922	0.000	0.000	0.000	0.000
95	37371	2	1.267	2.11	0.38457	-22.88647	0.000	2.357	-0.090	0.000	0.000	0.000	-1.000
96	37593	4	-0.635	2.08	0.36307	-22.61787	0.000	1.528	-2.163	0.000	0.000	0.000	0.000
97	37761	2	-0.659	2.06	0.35399	-22.35972	0.000	0.829	-0.488	0.000	0.000	0.000	-1.000
98	37802	2	-1.058	2.04	0.36492	-22.19702	0.000	-0.021	-0.037	0.000	0.000	0.000	-1.000
99	38005	4	-2.423	2.02	0.36513	-22.01535	0.000	-1.549	-0.874	0.000	0.000	0.000	0.000
100	38192	4	1.686	2.00	0.32908	-21.75351	0.000	1.831	-0.145	0.000	0.000	0.000	0.000
101	38253	2	-1.283	2.00	0.32443	-21.59018	0.000	0.079	-0.362	0.000	0.000	0.000	-1.000
102	38455	4	1.039	2.00	0.34474	-21.40268	0.000	1.915	-0.876	0.000	0.000	0.000	0.000
103	38626	4	0.222	1.00	0.31320	-21.14621	0.000	0.286	-0.063	0.000	0.000	0.000	0.000
104	38656	2	-2.190	1.00	0.32183	-21.06202	0.000	-0.001	-1.189	0.000	0.000	0.000	-1.000
105	38828	4	0.237	1.00	0.34082	-20.89225	0.000	0.324	-0.087	0.000	0.000	0.000	0.000
106	38992	4	0.096	1.00	0.33694	-20.65170	0.000	0.717	-0.621	0.000	0.000	0.000	0.000
107	39154	4	-0.146	1.00	0.32984	-20.45534	0.000	-0.006	-0.140	0.000	0.000	0.000	0.000
108	39379	4	-0.749	1.00	0.31992	-20.20343	0.000	0.221	-0.970	0.000	0.000	0.000	0.000
