gpu torch available:  True
device name:  NVIDIA H100 NVL
training on stage: 9
making new model dir: /home/kaushik/project/deep-rl-robot-navigation/src/turtlebot3_drl/model/fond-filly/sac_4_stage_9
Observe phase: 62/25000 steps
Observe phase: 243/25000 steps
Observe phase: 295/25000 steps
Observe phase: 416/25000 steps
Observe phase: 449/25000 steps
Observe phase: 551/25000 steps
Observe phase: 659/25000 steps
Observe phase: 828/25000 steps
Observe phase: 1045/25000 steps
Observe phase: 1086/25000 steps
Observe phase: 1116/25000 steps
Observe phase: 1244/25000 steps
Observe phase: 1445/25000 steps
Observe phase: 1511/25000 steps
Observe phase: 1708/25000 steps
Observe phase: 1855/25000 steps
Observe phase: 2005/25000 steps
Observe phase: 2121/25000 steps
Observe phase: 2162/25000 steps
Observe phase: 2353/25000 steps
Observe phase: 2384/25000 steps
Observe phase: 2523/25000 steps
Observe phase: 2689/25000 steps
Observe phase: 2787/25000 steps
Observe phase: 2938/25000 steps
Observe phase: 3156/25000 steps
Observe phase: 3204/25000 steps
Observe phase: 3234/25000 steps
Observe phase: 3424/25000 steps
Observe phase: 3612/25000 steps
Observe phase: 3818/25000 steps
Observe phase: 3966/25000 steps
Observe phase: 4189/25000 steps
Observe phase: 4318/25000 steps
Observe phase: 4515/25000 steps
Observe phase: 4560/25000 steps
Observe phase: 4764/25000 steps
Observe phase: 4967/25000 steps
Observe phase: 5016/25000 steps
Observe phase: 5241/25000 steps
Observe phase: 5513/25000 steps
Observe phase: 5553/25000 steps
Observe phase: 5585/25000 steps
Observe phase: 5634/25000 steps
Observe phase: 5761/25000 steps
Observe phase: 5986/25000 steps
Observe phase: 6050/25000 steps
Observe phase: 6220/25000 steps
Observe phase: 6503/25000 steps
Observe phase: 6578/25000 steps
Observe phase: 6727/25000 steps
Observe phase: 6789/25000 steps
Observe phase: 6884/25000 steps
Observe phase: 6916/25000 steps
Observe phase: 7051/25000 steps
Observe phase: 7321/25000 steps
Observe phase: 7576/25000 steps
Observe phase: 7606/25000 steps
Observe phase: 7637/25000 steps
Observe phase: 7890/25000 steps
Observe phase: 8120/25000 steps
Observe phase: 8270/25000 steps
Observe phase: 8317/25000 steps
Observe phase: 8364/25000 steps
Observe phase: 8426/25000 steps
Observe phase: 8670/25000 steps
Observe phase: 8739/25000 steps
Observe phase: 8962/25000 steps
Observe phase: 9155/25000 steps
Observe phase: 9187/25000 steps
Observe phase: 9380/25000 steps
Observe phase: 9605/25000 steps
Observe phase: 9675/25000 steps
Observe phase: 9797/25000 steps
Observe phase: 9866/25000 steps
Observe phase: 10114/25000 steps
Observe phase: 10181/25000 steps
Observe phase: 10212/25000 steps
Observe phase: 10414/25000 steps
Observe phase: 10641/25000 steps
Observe phase: 10672/25000 steps
Observe phase: 10783/25000 steps
Observe phase: 10813/25000 steps
Observe phase: 10858/25000 steps
Observe phase: 11079/25000 steps
Observe phase: 11111/25000 steps
Observe phase: 11279/25000 steps
Observe phase: 11314/25000 steps
Observe phase: 11387/25000 steps
Observe phase: 11419/25000 steps
Observe phase: 11710/25000 steps
Observe phase: 11907/25000 steps
Observe phase: 12110/25000 steps
Observe phase: 12162/25000 steps
Observe phase: 12218/25000 steps
Observe phase: 12478/25000 steps
Observe phase: 12601/25000 steps
Observe phase: 12705/25000 steps
Observe phase: 12753/25000 steps
Observe phase: 12822/25000 steps
Observe phase: 13009/25000 steps
Observe phase: 13254/25000 steps
Observe phase: 13474/25000 steps
Observe phase: 13713/25000 steps
Observe phase: 13934/25000 steps
Observe phase: 14096/25000 steps
Observe phase: 14261/25000 steps
Observe phase: 14312/25000 steps
Observe phase: 14470/25000 steps
Observe phase: 14678/25000 steps
Observe phase: 14712/25000 steps
Observe phase: 14866/25000 steps
Observe phase: 15073/25000 steps
Observe phase: 15279/25000 steps
Observe phase: 15337/25000 steps
Observe phase: 15558/25000 steps
Observe phase: 15610/25000 steps
Observe phase: 15785/25000 steps
Observe phase: 16001/25000 steps
Observe phase: 16036/25000 steps
Observe phase: 16150/25000 steps
Observe phase: 16186/25000 steps
Observe phase: 16368/25000 steps
Observe phase: 16441/25000 steps
Observe phase: 16601/25000 steps
Observe phase: 16865/25000 steps
Observe phase: 16970/25000 steps
Observe phase: 17000/25000 steps
Observe phase: 17226/25000 steps
Observe phase: 17525/25000 steps
Observe phase: 17559/25000 steps
Observe phase: 17736/25000 steps
Observe phase: 17935/25000 steps
Observe phase: 18007/25000 steps
Observe phase: 18160/25000 steps
Observe phase: 18204/25000 steps
Observe phase: 18359/25000 steps
Observe phase: 18581/25000 steps
Observe phase: 18741/25000 steps
Observe phase: 18776/25000 steps
Observe phase: 18881/25000 steps
Observe phase: 19045/25000 steps
Observe phase: 19217/25000 steps
Observe phase: 19279/25000 steps
Observe phase: 19450/25000 steps
Observe phase: 19503/25000 steps
Observe phase: 19698/25000 steps
Observe phase: 19990/25000 steps
Observe phase: 20027/25000 steps
Observe phase: 20216/25000 steps
Observe phase: 20248/25000 steps
Observe phase: 20396/25000 steps
Observe phase: 20595/25000 steps
Observe phase: 20794/25000 steps
Observe phase: 20968/25000 steps
Observe phase: 21145/25000 steps
Observe phase: 21210/25000 steps
Observe phase: 21428/25000 steps
Observe phase: 21661/25000 steps
Observe phase: 21835/25000 steps
Observe phase: 21865/25000 steps
Observe phase: 21999/25000 steps
Observe phase: 22035/25000 steps
Observe phase: 22074/25000 steps
Observe phase: 22254/25000 steps
Observe phase: 22288/25000 steps
Observe phase: 22441/25000 steps
Observe phase: 22655/25000 steps
Observe phase: 22713/25000 steps
Observe phase: 22885/25000 steps
Observe phase: 23071/25000 steps
Observe phase: 23379/25000 steps
Observe phase: 23596/25000 steps
Observe phase: 23833/25000 steps
Observe phase: 23969/25000 steps
Observe phase: 24001/25000 steps
Observe phase: 24173/25000 steps
Observe phase: 24399/25000 steps
Observe phase: 24629/25000 steps
Observe phase: 24686/25000 steps
Observe phase: 24748/25000 steps
Observe phase: 24778/25000 steps
Epi 1      | COLL_WALL   | steps 229  | total 25k   | 23.4s | MA100   0%
