episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
1	25086	4	-2104.951	0.00	17.60012	105.01322	-225.399	-7.620	-300.000	-1135.730	-223.202	-213.000	0.000
2	25120	2	-2147.070	0.00	20.61010	106.66698	-31.487	3.081	-80.000	-1.683	-2.981	-34.000	-2000.000
3	25159	2	-2145.200	0.00	19.80847	106.30554	-18.404	5.052	-80.000	-7.067	-5.781	-39.000	-2000.000
4	25216	2	-2583.229	0.00	17.81093	105.93898	-118.644	-1.794	-400.000	-1.779	-4.013	-57.000	-2000.000
5	25337	2	-2699.409	0.00	18.32454	106.84299	-229.352	0.129	-320.000	-10.446	-18.740	-121.000	-2000.000
6	25367	5	-408.799	0.00	18.15753	106.28101	-15.889	3.463	-360.000	-2.764	-3.608	-30.000	0.000
7	25397	2	-2431.974	0.00	17.39467	107.45181	-40.081	1.964	-360.000	-0.268	-3.589	-30.000	-2000.000
8	25497	2	-2396.020	0.00	17.88830	108.03203	-181.554	-10.824	-80.000	-5.503	-18.139	-100.000	-2000.000
9	25549	2	-2139.641	0.00	18.23407	107.48702	-36.385	15.457	-60.000	-3.424	-3.289	-52.000	-2000.000
10	25579	2	-2353.103	0.00	20.00602	108.79660	-53.980	1.941	-260.000	-0.054	-11.011	-30.000	-2000.000
11	25691	2	-2995.488	0.00	18.06203	109.45609	-281.196	-25.362	-560.000	-6.064	-10.867	-112.000	-2000.000
12	25721	2	-2435.105	0.00	19.39963	109.11816	-74.156	-4.609	-320.000	-3.369	-2.972	-30.000	-2000.000
13	25751	2	-2355.825	0.00	17.88968	111.21825	-27.509	5.237	-300.000	-0.276	-3.277	-30.000	-2000.000
14	25786	2	-2142.881	0.00	19.98240	112.13399	-41.510	10.855	-60.000	-1.846	-15.379	-35.000	-2000.000
15	25826	2	-2193.345	0.00	18.25704	110.67528	-92.240	-6.128	-40.000	-6.927	-8.050	-40.000	-2000.000
16	25929	2	-2534.000	0.00	18.69991	112.36435	-220.423	-13.089	-180.000	-2.077	-15.412	-103.000	-2000.000
17	25986	2	-2592.652	0.00	19.01303	113.58959	-134.674	-9.746	-380.000	-0.384	-10.848	-57.000	-2000.000
18	26041	2	-2383.985	0.00	18.68248	113.13197	-119.371	-3.366	-200.000	-0.511	-5.736	-55.000	-2000.000
19	26090	2	-2511.437	0.00	19.88434	114.26161	-104.939	-11.323	-340.000	-0.880	-5.294	-49.000	-2000.000
20	26120	2	-2282.998	0.00	18.57348	115.63329	-34.925	12.554	-220.000	-1.733	-8.893	-30.000	-2000.000
21	26235	2	-2461.475	0.00	20.49350	115.21027	-183.170	2.796	-140.000	-1.340	-24.761	-115.000	-2000.000
22	26317	1	2200.533	4.55	19.05148	116.69199	-35.474	29.196	-200.000	-0.436	-10.753	-82.000	2500.000
23	26350	2	-2498.567	4.35	20.58341	116.95203	-94.448	-2.384	-360.000	-2.704	-6.032	-33.000	-2000.000
24	26526	2	-2861.405	4.17	19.69455	118.36194	-297.847	5.360	-300.000	-10.899	-82.019	-176.000	-2000.000
25	26559	2	-2257.635	4.00	19.53169	119.43420	-46.338	2.796	-160.000	-1.329	-19.764	-33.000	-2000.000
26	26599	2	-2164.509	3.85	20.43344	120.21781	-67.286	0.602	-40.000	-3.003	-14.822	-40.000	-2000.000
27	26636	2	-2708.351	3.70	18.26721	119.03331	-33.754	5.286	-580.000	-1.607	-61.276	-37.000	-2000.000
28	26696	2	-2552.036	3.57	21.33311	120.50811	-106.690	0.605	-340.000	-6.796	-39.155	-60.000	-2000.000
29	26766	2	-2293.623	3.45	20.90832	121.88835	-143.343	-18.855	-40.000	-0.163	-21.262	-70.000	-2000.000
30	26796	1	2367.360	6.67	22.16463	124.54063	-19.697	9.512	-80.000	-0.005	-12.450	-30.000	2500.000
31	26826	2	-2280.338	6.45	19.46142	120.88953	-65.152	-1.101	-140.000	-1.118	-42.966	-30.000	-2000.000
32	26924	2	-2432.721	6.25	20.02356	122.52285	-177.739	0.284	-80.000	-3.962	-73.305	-98.000	-2000.000
33	26983	2	-2279.137	6.06	20.92719	123.41331	-96.924	-4.551	-80.000	-2.062	-36.601	-59.000	-2000.000
34	27013	2	-2372.026	5.88	18.78216	124.31245	-52.265	0.640	-260.000	-4.763	-25.638	-30.000	-2000.000
35	27086	2	-2598.054	5.71	21.78414	127.36243	-136.623	-6.859	-340.000	-2.600	-38.973	-73.000	-2000.000
36	27132	2	-2267.582	5.56	23.03158	126.27190	-59.547	4.301	-140.000	-7.011	-19.325	-46.000	-2000.000
37	27186	2	-2370.373	5.41	20.27527	125.00205	-136.257	-11.076	-140.000	-5.122	-23.918	-54.000	-2000.000
38	27254	2	-2342.837	5.26	21.08102	126.21782	-101.264	3.766	-140.000	-4.723	-32.615	-68.000	-2000.000
39	27299	1	2385.801	7.69	21.26925	127.00844	-50.729	6.465	0.000	-0.871	-24.064	-45.000	2500.000
40	27361	2	-2423.161	7.50	22.50990	127.80265	-88.674	-1.597	-240.000	-1.691	-29.200	-62.000	-2000.000
41	27391	5	-362.235	7.32	22.42350	130.95427	-52.608	-0.761	-220.000	-2.214	-56.652	-30.000	0.000
42	27447	2	-2480.536	7.14	21.46563	127.43963	-97.743	-0.098	-260.000	-9.966	-56.728	-56.000	-2000.000
43	27482	2	-2354.585	6.98	22.54797	128.93010	-89.277	-3.868	-200.000	-5.828	-20.613	-35.000	-2000.000
44	27512	2	-2451.784	6.82	21.87728	128.59941	-62.336	0.853	-300.000	-1.541	-58.761	-30.000	-2000.000
45	27542	5	-130.231	6.67	23.07057	130.86336	-48.012	5.362	0.000	-4.556	-53.025	-30.000	0.000
46	27572	2	-2382.936	6.52	23.86632	130.35847	-46.177	-1.331	-220.000	-12.771	-72.657	-30.000	-2000.000
47	27618	2	-2282.637	6.38	24.05077	132.26337	-78.805	1.804	-140.000	-7.382	-12.255	-46.000	-2000.000
48	27697	1	2082.968	8.33	21.38466	132.32053	-73.849	32.895	-240.000	-1.200	-55.878	-79.000	2500.000
49	27735	2	-2141.733	8.16	21.97361	131.40102	-38.646	2.369	-40.000	-2.249	-25.207	-38.000	-2000.000
50	27830	2	-2575.781	8.00	24.42188	133.85672	-126.319	4.436	-280.000	-21.437	-57.462	-95.000	-2000.000
51	27865	2	-2340.279	7.84	22.66705	134.74519	-48.372	0.605	-220.000	-3.234	-34.278	-35.000	-2000.000
52	27959	2	-2986.586	7.69	24.51874	135.48074	-141.064	9.280	-680.000	-2.964	-77.837	-94.000	-2000.000
53	28039	2	-2445.471	7.55	23.14980	135.84085	-129.330	-3.215	-160.000	-1.592	-71.334	-80.000	-2000.000
54	28081	2	-2590.535	7.41	24.53571	139.06877	-97.034	-2.092	-400.000	-0.623	-48.786	-42.000	-2000.000
55	28178	2	-2656.029	7.27	23.61517	138.65166	-173.237	8.638	-340.000	-11.968	-42.462	-97.000	-2000.000
56	28221	2	-2213.378	7.14	22.87547	136.74960	-83.195	-3.012	-60.000	-2.225	-21.946	-43.000	-2000.000
57	28290	2	-2268.658	7.02	23.77362	139.80659	-73.220	5.881	-60.000	-10.231	-62.088	-69.000	-2000.000
58	28438	2	-2707.262	6.90	23.32306	141.20544	-205.954	18.212	-200.000	-18.023	-153.497	-148.000	-2000.000
59	28468	5	-410.730	6.78	23.69990	143.10840	-62.671	-2.325	-240.000	-0.948	-74.786	-30.000	0.000
60	28506	5	-264.308	6.67	22.84040	141.24438	-58.823	1.160	-100.000	-0.776	-67.868	-38.000	0.000
61	28614	2	-2446.954	6.56	23.16235	142.22009	-150.022	6.945	-80.000	-6.945	-108.932	-108.000	-2000.000
62	28676	2	-2346.670	6.45	24.60798	143.52872	-80.526	4.137	-140.000	-2.408	-65.872	-62.000	-2000.000
