episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
1	25007	2	-2.875	0.00	2.72751	-100.94965	0.000	-1.875	0.000	0.000	0.000	0.000	-1.000
2	25155	2	-0.885	0.00	3.01068	-100.28966	0.000	0.115	0.000	0.000	0.000	0.000	-1.000
3	25231	2	1.128	0.00	3.39953	-98.45941	0.000	2.128	0.000	0.000	0.000	0.000	-1.000
4	25289	2	-0.937	0.00	4.10631	-97.52176	0.000	0.063	0.000	0.000	0.000	0.000	-1.000
5	25342	2	-1.120	0.00	3.98270	-96.17431	0.000	-0.120	0.000	0.000	0.000	0.000	-1.000
6	25519	2	-1.355	0.00	3.24743	-95.50504	0.000	-0.355	0.000	0.000	0.000	0.000	-1.000
7	25666	4	-0.940	0.00	2.82102	-94.98466	0.000	-0.940	0.000	0.000	0.000	0.000	0.000
8	25711	2	-1.301	0.00	2.69123	-94.62130	0.000	-0.301	0.000	0.000	0.000	0.000	-1.000
9	25741	2	-1.573	0.00	2.78407	-94.31943	0.000	-0.573	0.000	0.000	0.000	0.000	-1.000
10	25801	2	-1.238	0.00	2.77203	-94.02379	0.000	-0.238	0.000	0.000	0.000	0.000	-1.000
11	26001	4	-0.575	0.00	2.53761	-93.64453	0.000	-0.575	0.000	0.000	0.000	0.000	0.000
12	26066	2	-1.495	0.00	2.21231	-93.04575	0.000	-0.495	0.000	0.000	0.000	0.000	-1.000
13	26156	2	0.860	0.00	2.43571	-92.63174	0.000	1.860	0.000	0.000	0.000	0.000	-1.000
14	26223	2	-0.395	0.00	2.40759	-92.34116	0.000	0.605	0.000	0.000	0.000	0.000	-1.000
15	26253	2	-1.010	0.00	2.87759	-91.96571	0.000	-0.010	0.000	0.000	0.000	0.000	-1.000
16	26460	2	0.884	0.00	2.45058	-91.51892	0.000	1.884	0.000	0.000	0.000	0.000	-1.000
17	26520	2	-2.184	0.00	2.31983	-91.04717	0.000	-1.184	0.000	0.000	0.000	0.000	-1.000
18	26722	1	2.604	5.56	2.32868	-90.45182	0.000	1.604	0.000	0.000	0.000	0.000	1.000
19	26916	4	-0.763	5.26	2.29132	-89.53568	0.000	-0.763	0.000	0.000	0.000	0.000	0.000
20	26964	2	-1.151	5.00	2.18214	-89.04527	0.000	-0.151	0.000	0.000	0.000	0.000	-1.000
21	27144	4	-0.341	4.76	2.17059	-88.56425	0.000	-0.341	0.000	0.000	0.000	0.000	0.000
22	27342	4	-0.071	4.55	2.19940	-87.68303	0.000	-0.071	0.000	0.000	0.000	0.000	0.000
23	27377	2	-1.229	4.35	2.09704	-87.27496	0.000	-0.229	0.000	0.000	0.000	0.000	-1.000
24	27522	2	-1.742	4.17	2.18236	-86.88708	0.000	-0.742	0.000	0.000	0.000	0.000	-1.000
25	27678	4	0.863	4.00	2.21175	-86.23689	0.000	0.863	0.000	0.000	0.000	0.000	0.000
26	27878	4	-1.595	3.85	2.08746	-85.48704	0.000	-1.595	0.000	0.000	0.000	0.000	0.000
27	27914	2	-1.214	3.70	2.20736	-84.94560	0.000	-0.214	0.000	0.000	0.000	0.000	-1.000
28	28115	4	-1.563	3.57	2.03286	-84.44571	0.000	-1.563	0.000	0.000	0.000	0.000	0.000
29	28223	2	-1.642	3.45	2.12416	-83.79390	0.000	-0.642	0.000	0.000	0.000	0.000	-1.000
30	28346	2	-0.786	3.33	1.91849	-83.35538	0.000	0.214	0.000	0.000	0.000	0.000	-1.000
31	28387	2	-0.890	3.23	1.95284	-83.13503	0.000	0.110	0.000	0.000	0.000	0.000	-1.000
32	28627	4	0.241	3.12	1.98247	-82.44118	0.000	0.241	0.000	0.000	0.000	0.000	0.000
33	28663	2	-1.182	3.03	1.95190	-81.84134	0.000	-0.182	0.000	0.000	0.000	0.000	-1.000
34	28808	4	0.375	2.94	1.85401	-81.49811	0.000	0.375	0.000	0.000	0.000	0.000	0.000
35	28945	4	1.397	2.86	1.87063	-80.98589	0.000	1.397	0.000	0.000	0.000	0.000	0.000
36	29094	4	0.835	2.78	1.90022	-80.33401	0.000	0.835	0.000	0.000	0.000	0.000	0.000
37	29237	4	-1.402	2.70	1.82268	-79.79896	0.000	-1.402	0.000	0.000	0.000	0.000	0.000
38	29287	2	-0.448	2.63	1.75147	-79.45945	0.000	0.552	0.000	0.000	0.000	0.000	-1.000
39	29370	2	0.324	2.56	1.69380	-79.11277	0.000	1.324	0.000	0.000	0.000	0.000	-1.000
40	29562	4	-1.497	2.50	1.74902	-78.62833	0.000	-1.497	0.000	0.000	0.000	0.000	0.000
41	29712	4	0.975	2.44	1.69441	-77.90350	0.000	0.975	0.000	0.000	0.000	0.000	0.000
42	29879	4	0.136	2.38	1.86148	-77.34086	0.000	0.136	0.000	0.000	0.000	0.000	0.000
43	30004	2	-1.596	2.33	1.65601	-76.72449	0.000	-0.596	0.000	0.000	0.000	0.000	-1.000
44	30164	4	0.764	2.27	1.62418	-76.17061	0.000	0.764	0.000	0.000	0.000	0.000	0.000
45	30374	4	0.020	2.22	1.53554	-75.47697	0.000	0.020	0.000	0.000	0.000	0.000	0.000
46	30581	4	0.083	2.17	1.50818	-74.66850	0.000	0.083	0.000	0.000	0.000	0.000	0.000
47	30778	2	-0.463	2.13	1.48908	-73.93344	0.000	0.537	0.000	0.000	0.000	0.000	-1.000
48	30842	2	-1.554	2.08	1.52137	-73.37395	0.000	-0.554	0.000	0.000	0.000	0.000	-1.000
49	31019	2	-1.247	2.04	1.37154	-72.90237	0.000	-0.247	0.000	0.000	0.000	0.000	-1.000
