episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
1	25018	2	-2669.041	0.00	51.44393	233.20749	-81.543	-1.165	-80.000	-374.809	-73.524	-58.000	-2000.000
2	25089	2	-2354.864	0.00	43.74571	232.83836	-132.913	-4.161	-60.000	-63.036	-23.755	-71.000	-2000.000
3	25186	2	-2947.273	0.00	46.19312	231.60864	-163.300	-4.852	-560.000	-82.495	-39.625	-97.000	-2000.000
4	25282	2	-2931.940	0.00	44.17543	233.03571	-206.826	-7.558	-520.000	-67.533	-34.022	-96.000	-2000.000
5	25367	2	-2400.560	0.00	45.58799	234.85092	-170.631	-7.724	-60.000	-22.425	-54.780	-85.000	-2000.000
6	25484	2	-2475.352	0.00	47.77532	237.20787	-159.079	8.236	-100.000	-63.029	-44.479	-117.000	-2000.000
7	25525	2	-2203.334	0.00	50.29585	237.14062	-78.839	-0.232	-60.000	-8.486	-14.777	-41.000	-2000.000
8	25595	2	-2353.770	0.00	51.29384	238.87308	-107.399	-5.759	-100.000	-36.885	-33.728	-70.000	-2000.000
9	25665	2	-2710.405	0.00	52.03987	236.81055	-94.654	4.075	-460.000	-41.554	-48.272	-70.000	-2000.000
10	25695	2	-2487.804	0.00	50.44271	242.80254	-65.066	0.342	-380.000	-6.435	-6.644	-30.000	-2000.000
11	25725	2	-2559.003	0.00	52.94623	237.65446	-64.552	-1.566	-420.000	-12.149	-30.736	-30.000	-2000.000
12	25756	2	-2204.087	0.00	49.72252	238.23929	-78.014	-4.790	-60.000	-13.262	-17.020	-31.000	-2000.000
13	25934	4	-1175.325	0.00	49.97755	241.15250	-275.935	0.283	-540.000	-114.492	-67.182	-178.000	0.000
14	25970	2	-2272.644	0.00	48.73412	242.69249	-48.134	1.071	-140.000	-20.490	-29.092	-36.000	-2000.000
15	26042	2	-2386.003	0.00	51.50543	242.18726	-98.299	-1.590	-120.000	-70.155	-23.960	-72.000	-2000.000
16	26073	2	-2306.009	0.00	49.78832	245.47240	-44.320	1.796	-180.000	-27.687	-24.798	-31.000	-2000.000
17	26276	4	-1232.262	0.00	50.14672	244.74995	-319.705	-0.632	-460.000	-173.947	-74.978	-203.000	0.000
18	26323	2	-2256.626	0.00	52.08073	243.61502	-59.230	3.274	-60.000	-71.568	-22.102	-47.000	-2000.000
19	26377	2	-2388.917	0.00	49.07112	243.36176	-111.435	-3.827	-180.000	-16.109	-23.545	-54.000	-2000.000
20	26426	2	-2315.480	0.00	50.53080	246.05176	-59.388	0.973	-140.000	-36.209	-31.855	-49.000	-2000.000
21	26456	2	-2374.658	0.00	45.26065	245.35609	-42.905	-0.895	-280.000	-15.421	-5.437	-30.000	-2000.000
22	26488	5	-170.315	0.00	49.51414	249.62181	-62.502	-0.582	-60.000	-5.496	-9.735	-32.000	0.000
23	26539	1	2294.822	4.35	52.06755	247.95448	-52.752	3.529	-80.000	-14.507	-10.448	-51.000	2500.000
24	26644	2	-2424.255	4.17	53.73514	249.63954	-183.875	-13.944	-60.000	-25.682	-35.754	-105.000	-2000.000
25	26683	2	-2608.800	4.00	48.60797	249.36438	-76.824	-2.984	-440.000	-14.869	-35.124	-39.000	-2000.000
26	26752	2	-2446.187	3.85	52.37500	250.20981	-94.646	5.478	-220.000	-21.596	-46.424	-69.000	-2000.000
